到家: 我刚嘎游到家这点猫家最爽
一周: 新的一周忙起来哟
一周: 新的一周忙起来哟
现实: 现实比理想骨感
分享: 分享了一篇文章谢松
漂亮: 漂亮
资格: 有资格买房的看过来//回复嘻嘻//偷笑
后面: 后面更给力啊幸亏先撤啦呵呵
温暖: 马总让我们感受到了温暖感谢您哈哈//很高興和全經聯三十位開發商相聚北京//
大道至简: 大道至简今天陪同40多个老总考察两个项目一天的行程下来从他们身上学到了很多成功的人都是是爱学习的不断的学习先进才会走的更远企业如此经营人生亦如此#Weico拼图#&lt;/a
四月: 四月去更棒//回复////
小镇: 小镇人见人爱
连接: 给个连接王总
分享: 上午的分享大家収获很大在车上大家还贊不绝口感谢刘总热情周到的接待//感谢
good: good
中国: 中国老百姓的钱除了放在银行还能干吗呢
形象: 说的真形象啊
回复: 回复太开心//
天蓝: 天蓝山淸水秀小镇美//你咋不来////你为何不参加组织活动//哈哈
阳光明媚: 阳光明媚怀柔欧洲小镇
哈哈: 气宇轩昂哈哈
出发: 出发前往在项目了吗嘻嘻
周日: 周日早上的公交也满员啦本以为自己起的很早啦看来做的还不够啊与大家同勉
出发: 出发
给力: 灰常的给力//期待明天的到来//鼓掌
活动: 祝活动圆满成功【2012建设石家庄幸福卓达节系列活动揭开序幕】
回复: 回复//
回复: 回复//
想你: 羡慕我吧我还想你的黄牛肉哪嘻嘻+又去玩[c壞笑]
和你: 和你都有有其他事情忙要不一起去更热闹啊//周末又有的忙了辛苦了
明天: 明天将陪同来自全国各地的40多名房地产研修班的董事长们一起走进参观品鉴董事长将会和大家进行面对面的交流期待ING.
花心: 花心////先用水焯一遍去掉脏东西和肥油然后再加作料清炖高汤汤可以做菜和做汤用再用用酱油卤肉一定用李锦记卤牛肉可放红酒巨美滋滋赵总打算怎么个做法呀//回复上午去开中医还跟大夫保证少吃油腻呜呜没脸见肉了
巧克力: 转发有巧克力吃么//哈哈羡慕嫉妒恨了吧//什么时候能有个男人节给我们发点烟酒糖茶的偷笑哈哈过节嘛又有邹总给买的巧克力当然灰常开心喽羡慕了
哈哈: 哈哈偷笑嘻嘻//偷笑
祝福: 祝福任总//
王道: 自我管理是王道
创业者: 创业者必读
今天: 今天好好表现啊.哥
学习: 学习
如果: 如果你爱生活生活也会爱你多一点所有有女性朋友丽人节快乐
觉得: 嘻嘻我觉得按你这样的应该是最管不住手的说不发又发了没有在你手机里看的效果好泪
分享: 分享图片
大讲堂: 全经联大讲堂嘉宾满堂
拍手: 捷报频传//拍手开放合作互补共赢//围观//
榜首: 8错8错//勇夺榜首名列第二位列第三拍手
国润大厦: 上午去国润大厦办事将车停在马路边的收费停车位上临走时收费员过来说请交费30元哇塞抢钱啊第一小时10元第二小时15元真是比CBD还牛叉啊
漂亮: 漂亮//去年也是在小镇拍摄的婚纱照呢
十二: 十二五期间北京三环内不再新供应住宅用地四环内不再新供集中建设经适房用地意味着今后四环内将不再有新经适房小区新京报
好大: 好大的园子
期待: 期待华总为全经联秘书处来作内训//////
迎来: 欢迎来全经联网//偶的公司也算////为什么加入高成长公司1更有有机会尝试学习新的事物2有更多晋升的机会因为为许多公司会优先考虑内部员工3做平时不敢做的工作理解自己的极限4周围有更有激情的人
专家: 专家风范//围观赞//春天来了该健身[bed了淩亂]//转发学习榜样//资源共享互相学习共同成长以专业推动房地产行业的转型与发展好
ok: ok//是北京吗
中午: 中午拨电话线吧偷笑
We: #Weico拼图#&lt;/a
兴起: 微博的兴起再一次表明人类最难管住的是嘴认为说的对的转起来认为为不对的先转后评论
低调: 低调////牛逼没有有记者认识老王可惜了
哈哈: 同感//挖鼻屎//哈哈
全国人民: 不要再煽风点火啦非要全国人民都吃不上饭好啊//转发微博
新龙: 新龙龙地产办公区随拍
下午: 某个下午就过去了//春暖花开了张老师来小镇做客吧感受怀柔清新空气品尝纯正欧洲啤酒//啥客都不容易
会议: 好//好会议上全经联与巅峰智业集团达成多项合作意向将于近期陆续启动文化和旅游地产方面相关论坛案例丛书等
文化人: 油菜滴文化人顶鼓掌//春天的会简称春会春晚他娘
客都: 啥客都不容易
人多: 可敬可亲//世上还是好人多我为人人人人为我啊//[雷鋒]//强力热推学雷锋树新风
地产: 地产人都爱上的网站//有事木事上全经联网哈哈哈哈不用传了已经加入全经联了全经联网有报道来自
大家: 最近大家关注的会怎么让我感觉比春晚还欢乐
这是: 这是最靠谱的投资零风险哈哈//2012年投资自己哈哈
组织: 回去就组织这事//为啥现在圣女多是是因为定位太高吗做个调查呗
大厦: 京汉大厦3月八日女性专场活动海报
欢迎: 欢迎//恭喜李总加入全经联//回复耶//
28: 从2月28日起上海宝山嘉定长宁等区县规定户籍家庭中成年未婚子女若和父母共有一套及以上上房产的不可再买第二套房
抱抱: 抱抱good
减肥: 减肥二要点1管住嘴2迈开腿
今天: 今天中午在的员工食堂就餐无意间看到了京汉置业的董事长田汉先生就对面就餐和很多的员工一样不外出就会在员工食堂就餐不知道这和大家眼中的地产商形象是否不一样
见证: 京汉见证浪漫情人节
大讲堂: 全经联大讲堂第六期转型中的房地产企业组织能力提升
太香: 太香了//图有有真相//
代表: 两会代表应谨记这四字真言//为官为人者真正能看清做到这四字的又有几人赏妙笔开心智多谢总分享//good//good//
每天: 每天做件好事让世界充满爱
企业: 这样的企业怎能不成功//
堂堂: 堂堂一地产老董用个爱马仕也没啥好聊的新闻价值吧//
来啦: 您也上来啦哈//
伟大: 伟大的博弈
分享: //推荐分享来自
好友: 几个好友品茶闲聊中
分享: 分享世嘉地产董事长先生墨宝一幅请欣赏
联网: 全经联网会做好宣传工作全力支持老王大哥//向雷锋同志学习为人民服务嘻嘻////
更新: 我刚更新了新浪微博iPhone客户端v2.9.1推荐你也一起来体验新增五套彩色主题增加夜间模式支持点击导航按键首页和消息刷新内容登录界面语言切换功能还有GIF图片标识哦快快更新吧
觉得: 你们这么一说我也觉得这TM才叫生活//哈哈哈过不了间隔年总能过个间隔日放飞心情享受下生活下次去的时候带上我找喝咖啡嘻嘻
参考: 参考最后一个哈哈
职业: 很职业的一位80后地产策划精英
朝阳: 在朝阳某公园随拍视频
名牌: 已经不需要名牌啦//年轻漂亮健康比是谁的女儿都强能跑能跳能吃能笑才是最好的炫耀
时候: 好有才的小编鼓励下给力//比以往时候来的更晚一些.停靠在马路的936汽车带来了小镇一批热情的客人.的2012年第一场雪是留在顶秀美泉难舍的情结.
亮马桥: 早该实名制啦//刚在在亮马桥开完发布会从今天起老用户也要实名认证了威武现在在赶往嫁给100分男人首映式现场
哈哈: 哈哈鼓掌//赞给力//赞想要的功能
分享: 分享图片
下午: 下午要去全经联理事开发的项目看盘跟策划部联系接待的事情策划经理告诉我说你们去吧吴镇宇会在在售楼处接待你们我心话说演艺圈的都卖房来啦看来来地产圈的春天要来了
专业: 说的中肯精辟专业的事情还需专业的人来做//微博营销拼的是创意是用心是集体智慧不是一个人唱的独角戏也不是一群人的体力活//如何针对房地产项目的特点把握微博营销的精髓开展行之有效的互动营销
一条: 四个字给总结了一条微博真厉害//集中中火力扬长避短
文化人: 最讨厌文化人说半截话偷笑
营销: 微博营销看似简单其实做好没那么容易需要团队运作//如何针对房地产项目的特点把握微博营销的精髓开展行之有效的互动营销
后面: 后面的帅哥排队都没等上和先生合影你们太幸福了
实用: 戴总的课好听还实用鼓掌//三天不学习赶不上刘少奇呵呵
博士: //受益匪浅感谢兰博士
语录: 语录1领导放下不值钱的架子把工作安排清楚2员工放下不值钱的面子把工作问清楚
秘书处: 正在为全经联秘书处作内训
哈哈: ////哈哈////哈哈哈哈大家轻松一下//哈哈转发微博
学习: 学习
老师: 老师在为为大家讲如何做好项目管理
喜欢: 喜欢这样的企业文化//建议把乒乓球台当桌子用
秘书处: 全经联秘书处集体培训即将开始
调查: 我刚刚参加了#调查#&lt;/a【京汉置业婚房需求调查活动】#网络调查#&lt;/a
下午: 下午全经联秘书处在海泰大厦进行培训秘书处的同志们出发了没
分享: 分享图片
分享: 分享图片
//: 我也赶快越狱去//今后全经联会员可直接通过手机了解到组织内各种信息太方便了会员服务大大便捷了
阳春: 在阳春三月来小镇拍婚纱照不错
温暖: 让爱温暖人生
继续: 继续努力亲们//鼓掌
祝福: 祝福他们
女性: 女性要敢于争取和表白
朝阳门: 去朝阳门办事介个堵
//: 围观中//报告邹总消息源比较靠谱//介是真的吗这么快就反应过来了//市场时时刻刻变企业年年岁岁调//
21: 21世纪最缺神马人才
真情: #真情告白京汉见证#&lt;/a联想电脑赢回家
回复: 刚发短信表白了回复是你有病啦汗汗汗汗偷笑
永远: 永远在路上才能走的更远
媳妇: 了/有/围观究竟要说什么呢//昨晚媳妇说找我谈话结果一直到睡着也没说啥我忐忑了一晚上到底要说啥啊疑问
春暖花开: 春暖花开时
郊区: 郊区都降了//降价哈/了///
一次: 虽然不能像他那么来一次長途旅行但是是可以在某个周末或阳光明媚的下午来小镇静享置身欧洲小镇的那份惬意
这是: 这是是实至名归//感谢全经联感谢谢兄弟们给我如此高的评价//
商业地产: 谢总是商业地产方面的实战专家//获2011曾年影响力-京华时报商业地产金牌操盘手
都是: 鼓掌//都是是可敬的人啊//鼓掌赞转发微博
我们: 我们生活的时代压力好大//我们生活的时代没有有诗意只有有无聊
北京: 北京楼巿暧流暗涌
We: #Weico拼图#&lt;/a思春的人不少
We: #Weico拼图#&lt;/a
分享: 分享图片#WeicoLomo#&lt;/a
助力: 精诚合作助力中北集团大发展
哈哈: 哈哈//谢谢潘总握手//
获得: 我获得微身份勋章啦我是个有身份的人了你也快点来领取吧咱们都是靠谱的人
归真: 归真堂这亊己成晨练老人们热议的新闻了支持归方有之反对声有之
看看: 看看远处的歌舞队大妈们对健康的追求就明白养老地产的需求有多大
回复: 回复//我我我我六点五十就起来了
公园: 公园里遇见最多的是老人和小狗唯独很少看见年轻人
起来: 起来来锻炼啦
汽车: 嘻嘻//汽车//至今为止对自媒体最好的解释
领导: 领导平安到达目的地晩安
艺术: 这才叫艺术啊太有才啦
生日: 刘总生日//这这这难道是志鹏生日生日欢乐~礼物
营销: 微博营销方案最终出品会中#WeicoLomo#&lt;/a
软件: 同求软件////求软件~~//
回复: 回复偷笑//泪
生日: 总的生日庆祝直播#Weico拼图#&lt;/a
欢乐: 看欢乐的样子哈哈嘻嘻
回复: 回复总的生日祝福//
回复: 回复生日//
礼物: 给力礼物蛋糕
分享: 分享图片
联网: 全经联网总编生日庆祝中
城市: 城市住宅杂志采用首届中国房地产经理人论坛探索房地产转型之路作为封面这其中的寓意大家能否明白
支持: 支持//匹夫有责//蚍蜉撼树//谁上台都会大力反腐败别无选择//
回复: 回复
回复: 回复//
户籍: 户籍改革地级市户口先放开直辖市继续控制人口国办发布户籍改革通知县级市落户容易直辖市控制人口规模户籍改革实行分类迁移政策户籍制度改革有了突破性进展国办昨天对外公布关
凤凰网: 读完了凤凰网送的书给理想一点时间对铁道部刘志军部长有了一个稍微客观的了解也少了些责备
盗版: 姜文的书说啥也不能买盗版的郎咸平的书我都是买盗版的看//我靠[淚]你倒是早说我说这锃明瓦亮的hold住我的也是布的啊没拆封呢哥的是书封面是布的难道是精装[bed練腰]//当当刚送来的哥哥//
也是: 我的也是布的啊没拆封呢//哥的是书封面是布的难道是精装[bed練腰]//当当刚送来的哥哥//盗版我嘎嘎yz我倒回复//
当当: 当当刚送来的哥哥//盗版我嘎嘎yz我倒回复//
回复: 回复//
书刚: 推荐的书刚収到
成员: 全经联成员赴邢台考察
真的: 真的装纯洁哈//黑线//阴险
爆米花: 吃了了多少年的爆米花今天长知识啦
今天: 今天最火的当是理发店了//龙年龙抬头大吉大利//
大家: //请大家关注
欢乐: 一大早你就这么欢乐不让你买4S你非买后悔了不是
向东: 好湿啊//向东向东一直向东就是是大海向东又下海祝面朝大海笑逐颜开[bed練腰]
回复: 回复的粉丝朋友们周末带上另一半去品味美食吧//////灰常有有感觉面包是热滴里面酥软外壳焦脆再加上冰激凌第一次吃绝对奇特[cc吃貨]
欢迎: //围观//欢迎参与.//
新时代: 新时代的好男人//年会正好发了个烤面包机准备周末在家试试[cc吃貨]看着就好吃//灰常有有感觉面包是热滴里面酥软外壳焦脆再加上冰激凌第一次吃绝对奇特[cc吃貨]//馋我了吧
看着: 看着就好吃//灰常有有感觉面包是热滴里面酥软外壳焦脆再加上冰激凌第一次吃绝对奇特[cc吃貨]//馋我了吧
天上人间: 这不是天上人间吗哈哈说不上太好吃也许是现代人好吃吃多了但是是很有新意属于中西合璧创新菜比如这个面包和冰激凌一起吃就比传统金银馒头蘸奶酪好吃的多美食如何味道
幸福: 幸福常伴
回复: 鼓掌//回复//
抱抱: 抱抱//老朋友的手握的更紧哈//鼓掌//////请大家关注
都在: 都在在财富公馆这呢//现在在好人都哪去了给力酷不要嘘
北京: 北京乐居巿场舆情监控系统上市助力2012房地产企业更好的作好企业品牌管理和危机早发现早处理
现场: 偶也在//我就在在现场哦还有有谁在来报个道吧耶
乐居: 乐居陈总在致晩宴词2012并不可怕可怕的是在逆巿中不知道做什么微营销是今年的主题
走进: 走进财富公馆领略了庄严大气的欧式城堡会所
养生: #中国式养生养老模式探讨#&lt;/a养老养生是关系到未来数亿老年人的生活质量的大问题希望今天下午的论坛能听到精彩的内容
欢迎: 欢迎参与各抒己见//养生养老论坛正在直播
南京: 这南京政府还算没让人失望还考察什么啊直接就回来得了
回复: 回复//大家什么时候都去去小镇过一段间隔客的生活呢
回复: 回复//不知道各位都是在哪个吉利的日子结婚呢/的/
下午: 下午积极参与讨论//好//哈经过这次探讨相信研究院的约稿将会多一个思维方向
学习: 这点可以学习下国外男人买房女人负责房子里面的一切包括婚后干家务哈哈婚姻本就是契约精神婚房当然也不该一人独大哈哈哈
漂亮: 漂亮滴婚房快乐的做新郎
京东: 北京东涛经纬网络科技有限公司简介
随时: 随时在关注你们的考察体验花絮哈记得实时发微博刘总
中国: 松朗谢-中中国房地产人物百科-中国最大最全的房地产人才库
老杨: 老杨杨属于实力派地产新秀
哈哈: 哈哈我看也是老蔡啊哈哈//
欢迎: 欢迎郑总来全经联网做客//我是摄影师哈哈那是是很久很久以前了酷
的人: 为了让更多的人能够领略到的魅力途家是一个非常不错的合作伙伴//向途家学习向罗总学习////总在在仔细的了解的接待流程
接待: 从背影就看出是总在在仔细的了解的接待流程
摄影: 郭总摄影水平超棒//清秀骨感好像能闻到春的味道思考
微博: 以微博之力成就就品牌推广//要高度关注微视频这种新的传播载体一部能引起特定范围人群心灵共鸣的作品定会引爆一轮大规模的传播科技地产项目的传播是否也可借力微视频将品牌传播有效植入我想没神马不可以关键策划是王道耶
喜欢: 喜欢微博配图的照片
中午: 中午和几个同事一起吃饭大家都发现一个不容忽视的问题我们大家在线下的沟通交流中多会出现词不达意经常说错词或开口说话一半后面不知道自己想要说什么了在我的记忆里前几年大家不会经常出现这样的现象到底是什么原因让我们提前老去了呢
支持: 支持//有啊有啊//耶支持转发//
朋友: 下次我带朋友过去//好地方啊什么时候让我也感受感受什么是皇家驿栈哈哈//主席率领的全经联朋友们光临皇家驿栈
支持: 大爱无言支持//关爱民生关爱社会孩子和教育是一个国家的未来和希望在企业发展到一定程度的时候就应该回馈社会应该为国家为那些上不起学的孩子为那些需要帮助的人贡献自己的力量
bed: 鼓掌欢迎bed弹跳欢迎周总加入全经联
学会: 刚刚学会了在手机上设置163邮箱终于解决了只能収不能发的苦恼网络时代学会用网络解决一切小问题酷
地产: 张总是资深地产媒体人祝贺总/张/欢迎向东
顶秀: 每次来顶秀小镇都不想再离去美的让人陶醉#Weico拼图#&lt;/a
分享: 分享图片
怀柔: 在怀柔祝贺啦//祝贺给力紧密合作推动行业的专业化进程
婚姻: //婚姻是需要勇气的选择婚姻就等于立下了无论将来发生任何事情都要共同面对的誓言真心祝愿你们婚姻幸福相爱一生//
回复: 马团牙口好嘻嘻//回复//偷笑
学习: 值得学习//转发微博
We: #Weico拼图#&lt;/a
We: #Weico拼图#&lt;/a
春季: 春季加强户外运动不关心比分只为为健身酷
抱抱: 抱抱//
见证: 两位辛苦啦哈//能陪娜姐见证历史万分荣幸
大家: 感谢谢大家的祝福哈//哦大喜爱心传递
回复: 回复//老师今天为北科建传经布道微博作为一种新媒体正在以它强大的生命力影响着我们不学习就要out了今天北科建集团五地视频同步培训聆听邹总解惑
祝贺: 祝贺//祝贺//关注////good
自己: 还是过自己的日子实惠//60年代的日子是过个自己的后来就开始过个别人看了于是是客厅要大还要大现在在日子是用来比[bed的彈跳]我喜欢60年代的新婚房间
房子: 我觉的房子和爱情的关系就像人跟衣服的关系没有有房子的爱情就像像人没穿衣服裸奔//中国特色的婚恋观现在的年轻人更不清楚是什么吧思考
喜欢: 我喜欢60年代的新婚房间
如果: 如果人多需要等待可以以坐在休息大厅啊//休息大厅的用处是
一起: 一起提升北科建的品牌影响力
回复: 回复//
回复: 回复//////今天培训很成功鼓掌//谢谢谢支持能为为行业所用给房地产行业带来价值是微博在房地产行业的发展基础握手来自
产品: 京汉一直在遵循盖好房子做好人的原则来做产品虽然京汉置业在规模上不大但是是这么些年一直在默默的做着精品践行者婚房专家的责任
祝贺: 金总生日快乐//要祝贺嘻嘻
回复: 回复//
今天: //今天培训很成功鼓掌//谢谢谢支持能为为行业所用给房地产行业带来价值是微博在房地产行业的发展基础握手来自
微博: //让微博被房地产行业所用为房地产行业做出更大贡献good
企业: 企业官方微博的管理需要糸统化日常化结合企业文化内涵形成独特的风格北科建作为科技地产领域的领军者对新媒体营销非常重视企业管微不久将开通请关注北科建
今天: 今天培训很成功鼓掌//谢谢谢支持能为为行业所用给房地产行业带来价值是微博在房地产行业的发展基础握手来自
东山: 邹良东山墅//申威尼斯花园嘻嘻
北科: 北科建各地分公司正通过视频会议参与本次培训//威武武
正在: 给力//正在北科建做企业微博营销讲座
正在: 邹总正在讲述潘币事件的前因后果大家听的很投入不但实用还要易懂这就是邹良东老师的独特风格
回复: 回复给力//赞//讲微博营销的全国有几个人了邹老师
good: good
地产: 地产行业人士因为微博触网速度越来越快微博属性是新玩具新媒体新平台
北科: 在北科建做企业微博营销讲座集团及分公司高管四十多人参加本次培训
正在: 任总正在作报告1今年房地产政策很确定继续高态势打压2房地产投资继续下滑//期待一手报道啊//
贴心: 好贴心呢公交自驾一网打尽啊
男人: 是哪个男人如此疯狂求爱在25米高的钟楼上高调示爱分享视频
周末: 扯远啦周末去看电影支持冰冰的电影
回复: 回复////不厚道八一下李曾结果婚吧哈哈
爱情: 爱情早餐动力无限//回复//
喝了: 我也先喝了小二////////哈哈//哈哈//哈哈
回复: 回复哈哈//
就是: 偶就是是金牛哈朋友们都来吧
思考: 思考
朋友: 从朋友身上总能学到东西这样的朋友真应该多几个哈
哈哈: 嘻嘻//哈哈//good来自
分享: 分享图片
厚道: 真滴吗李结过婚//不厚道八一下李曾结果婚吧哈哈
我的: 卢总应该关注下这事//啥情况//我的去看看怎么回事
我的: 我的去看看怎么回事
向往: 令人向往的悠闲生活羡慕程总啊
都在: 因为都在在进行维修式拆除//北京的胡同越来越少了////赞
愿意: 我决定去看李冰冰的我愿意很赞同她的盛女观点男女都是是平等的不存在剩男和剩女你们有看过的吗
好玩: 微博因此而更好玩
真情: #真情告白京汉见证#&lt;/a我愿意你健康一辈子因为为只有这样我才可以欺负你一辈子哈哈地址
多么: 多么希望天天都是是情人节哈您心话说
天天: 到时候让你天天晚餐吃菜花你就懂得玫瑰的含义了////麻团是不敢呢还是是不愿也或是不敢想呢哈哈
这是: 这是是情人节看到涉黄
地铁站: 一到地铁站啥鸟节的气氛全没了
欧洲: 超有欧洲范的小镇
情人节: 情人节最忙的应该是刘总啦偷笑我们也要满了但没有涨价心经济新经济//#老虎说旅游#&lt;/a情人节已经引起酒店开房率显著上升可见精神经
企业: 为什么企业高管的总结能力都这么强呢酷大爱//
回复: 回复//
回复: 回复路秘书长是为了在一线更好的做好服务工作与我们的会员保持紧密联系哈//路秘书长你看这事如何处理哈哈//////
情人节: 我以为你的情人节每年都在家过的今年要换个方式啊//我是主持人等你来啊不许带你媳妇偷笑灰常想去如果参加的话必须去偷笑张老师不/来/太赞了为大厦里的青年男女提供一次互相交流的机会/
回复: 回复//
真情: 真情告白感动你和我非常常朴实的文字蕴含着绵绵情意为兄弟祝福为爱情高歌
回复: 回复////
文化: 从侧面说明文化的缺失也可以理解成人的本性使然//我感觉现在除了清明节神马节都跟交配有关//很简单情人节本来就是洋人的东西既然过洋人的东西就肯定不会信中国的老东西了//为什么情人节总离不开床上那点事今天看黄历说不宜交配呢
如果: 灰常想去如果参加的话必须去偷笑张老师不/来/太赞了为大厦里的青年男女提供一次互相交流的机会//
大厦: 太赞了为大厦里的青年男女提供一次互相交流的机会//
浪漫: 的浪漫求婚视频推荐给您
爱情: 爱情气球满屋漂现在的男人很疯狂追女孩个个肖有绝招啊今天开眼啦哈哈
真情: #真情告白京汉见证#&lt;/a北京师范大学的鲜花比较贵情人节快落啊地址
回复: 回复//
的你: 我也这么存的你的号码偷笑
回复: 回复偷笑//哈哈
北京: 北京师范大学东门的玫瑰已经飙涨到20块一只啦中午看到很多大学生在门口聚集现在的大学生真有钱啊记得我上大学时
就是: 就是是那种在办公室里坐的时间长了可以用它来解乏的东东职场白领都需要的东东哈哈按摩棒棒这个礼品有创意//啥个子按摩棒偷笑
专家: 婚房专家--京汉置业情人节豪礼大派送活动火热进行中京汉置业---婚房专家见证爱情表白赢取联想笔记本大奖2012-02-141507奖项说明一等奖1名lenovoE46L笔记本二等奖3名电子按摩棒
情人节: 在情人节忽然想起一句不知道是谁说过的话生活不只是材米油盐酱醋茶还应该有一些琴棋书画谈风雅平时不知道对另一半表达爱意的人们今天真的可以来一点点小的浪漫
顾问: 太漂亮啦//罗顾问帮助全经联的老总们在亚龙湾安个家吧哈哈
其中: 明列其中房地产首个董事长项目研修班将举办
2012: 2012最浪漫的求婚方式分享自
事情: 很多事情第一次都不太完美第二次又没有这个劲头搞啦哈哈呵呵晚上上最好要有有鲜花和烟花是不是这样太单调了手机看不清楚还不知道上面写了什么了
爱情: 赶快参加爱情大表白吧//无语
如果: 如果再有点烟花效果更梦幻//回复赞//
见证: 见证2012最有创意的爱情表白
真情: #顶秀真情表白#&lt;/a我不是一个善于表白的人还记得电影敢死队里面有一句经典的爱情表白我早就说过我是一个值得你等的男人借用这句话送给我的爱人地址
花心: 花心哈哈
那个: 那个时候是不是也用不着写字啦//转发微博
才能: 只有有全力以赴才能做好
县级: 县级的考虑不吴总//谁都有啊明
大道至简: 戴总说的是大道至简//目前管理浮躁现象很严重理论更多落地更少我想说不要追新贪高简单的功夫练到极致就是是绝招//赞对知行合一的准确注释
简单: 简单单一句话很受益//给力
报名: 我报名一个//回复////
good: good
味道: 想知道梨的味道咬一口就好了
支持: 支持总理//总理提出保障房以公租房为主商保并重房地产刚需是长期的//坚决支持不一定买房但人人有房住//支持垄断行业改革
系统: 新的系统有点不太好用上网时太慢且信号不稳等半天还刷不出一条微博
相信: 相信政府的企业才能基业长青
看着: 看着像马团啊good
遇见: 让谁遇见这事都会气愤三星客服干嘛去了了
热闹: 真热闹企业团建就应该这样//回复//哈哈哈哈哈哈有爆料吗
回复: 回复//
哈哈: 哈哈//
谢谢: 谢谢谢下午给予的大力支持啊//
回头: 我回头做下工作征得同意后发段视频上来//偷笑//很不错地策划最后成功了吗//哈哈哈哈//who只看见围观的没看见是哪一个呀
两人: 两人相拥而泣//很不错地策划最后成功了吗//哈哈哈哈//who只看见围观的没看见是哪一个呀
男主角: 男主角希望高调求婚低调生活哈哈哈哈who只看见围观的没看见是哪一个呀
在这: 在这里要感谢的大力支持为好兄弟的浪漫求婚提供了诸多方便特别感谢2012的情人节我想这是最浪漫的求婚方式了比在非诚勿扰里面在长城的求婚还浪漫
也是: 能够硬气也是一种成功特别是在当下这样的社会环境下重新思考爱情//说的对看出了硬气和无奈没看出浪漫//要是是女业主呢有房有情比武招亲吧哈哈/
下午: 下午在参与了好兄弟策划的浪漫求婚仪式女孩彻底晕倒感动的一塌糊涂祝天下有情人终成眷属
爱情: 不管怎样当爱情有了房子的呵护我想才有后面的美满婚姻吧要是是女业主呢有房有情比武招亲吧哈哈我买房了嫁给我多么硬气的求婚语啊围观回复//
给我: 我买房了嫁给我多么硬气的求婚语啊围观回复//////
2012: 2012最浪漫的事在顶秀美泉小镇上演啦哈哈这样还不嫁就太说不过去吧
good: good//good支持//支持//一起抵制请支持转发////我坚决抵制#归真堂#&lt;/a上市我认为在健全企业公民责任成为大趋势的今天不顾顾企业伦理不尊重基本社会道德的企业没有资格上市允许这类企业上市将损害国家的形象
开心: 太开心//解剖案例总结商业模式对接资源解决问题
主席: 安主席生日快乐蛋糕//生日快乐蛋糕谢谢英鑫能记住这个平凡日子的人是用心交友的朋友
效果: 这效果哈哈#WeicoLomo#&lt;/a
随意: 最主要的是可以随意走动哈哈
大家: 今年的市场没那么悲观大家也别人心惶惶的
大家: 今年的市场没那么悲观大家也别人心惶惶的[em3]
来访: 对说快来访问你的全经联微博
微博: 马总多上微博跟全经联的兄弟姐妹们互动交流哈
如果: 如果没有房子结婚就算耍流氓那中国有多少无可奈何耍流氓的80后们呢
照片: 可能是照片过大可以把照片缩小到2MB以内就可以上传了//回复//晕
越来越: 越来越觉得微博需要实名制这里应是一个交流平台每个人都应对自己的言论负责
政府: 谁说政府没人才这文案老牛了//文才了得辟精//好联
中国: 拿地也要有个度啊//中国房地产火20还年是任总说的说过好多次呢这个老板当真了//地王耻犹未雪政策恨何时灭我坚信熬过今年还有戏
抱抱: 抱抱//敬请广大全经联研究员及业内朋友们关注和支持
葡萄: 葡萄美酒夜光杯今晩的月亮很美仰望夜空静思百味人生
哈哈: 哈哈找您半天啦张博士
淑女: 再忍忍吧谁让咱是淑女呢
两个: 两个同事的微博账号信息被盗了//什么意思啊
回复: 赶快来参与啊//回复//
微博: 陆续有同事的微博被黑大家可要小心点喽
金色: 一大早来到金色漫香苑项目踩盘访友品茶
回复: 鼓掌//回复//哈哈
生存: 逆巿生存下来是第一利润是第二//有说今年市场要的不一定是利润而是拼命//浪曾经顺势市场是摇旗呐海的今年的市场需要顶在前面未来的市场需要顶天立地//为房地产的行业转型持续努力
希望: 感谢王总希望多关注全经联网//支持//
学习: 韩总讲的更准确向您学习//地产广告业没有大佬更没有老大只有有前浪和后浪曾经顺势市场是摇旗呐海的今年的市场需要顶在前面未来的市场需要顶天立地//为房地产的行业转型持续努力
花心: 花心
房地产: 了解更多的房地产人和事就到全经联家园来
联网: 多关注下全经联网也真诚邀请张华总称为商学院的讲师//欢迎广大兄弟企业的大力支持~2012携手共赢////全经联网将全方位服务于房地产行业来自
good: good//我就喜欢那酷有范儿~偷笑
欢迎: 欢迎各位地产广告大佬关注全经联网为房地产的行业转型持续努力
更好: 为了了更好的促进房地产行业转型和推荐行业上下游知名品牌企业这是是今年全经联网要对外合作的一个产品系列主要针对建筑设计公司全案广告公司营销代理公司进行品牌展示和在在业内传播欢迎大家推荐品牌企业合作
梦回: 梦回巴黎
大哥: 周大哥去上海啦//海山同志现在连找人也管了
回复: 回复////
粉丝: 我猜不出来粉丝们帮帮忙哦
普天同庆: 普天同庆////节日是所有人的奢侈品包括穷人
道理: 有道理//呵呵
司令部: 司令部消防工作怎么搞的//////////回复啊//海军大院一半是海水一半是火焰
快乐: 金总元宵节快乐全经联家园因你而精彩//祝龙年吉祥节日愉快
网站: 查看某个网站看到的可爱小提示
欢迎: 欢迎刘总加入大家庭
徒步: 欣赏徒步团历次徒步美图的大本营哪//徒步团网上基地隆重登场龙年要大步出发//////徒步团大本营
在其: 积极参与乐在其中元宵节快乐
人生: 人生没有捷径
牛肉: 又买到徦牛肉啦气坏哥了以后就去牛街买牛肉其他地方再也不试了
回复: 回复////回复//总你要赵学武皇不成偷笑真热闹哈牡丹花早点开吧哈哈
